Date,Time (UTC),Booster_Version,Launch_Site,Payload,PAYLOAD_MASS__KG_,Orbit,Customer,Mission_Outcome,Landing_Outcome
01/11/2019,15:31:00,F9 B5 B1049.2,VAFB SLC-4E,Iridium NEXT-8,9600,Polar LEO,Iridium Communications,Success,Success
22/02/2019,1:45:00,F9 B5 B1048.3,CCAFS SLC-40,"Nusantara Satu, Beresheet Moon lander, S5",4850,GTO,"PSN, SpaceIL / IAI",Success,Success
03/02/2019,7:49:00,F9 B5B1051.1,KSC LC-39A,"Crew Dragon Demo-1, SpaceX CRS-17 ",12055,LEO (ISS),NASA (CCD) ,Success,Success
05/04/2019,6:48:00,F9 B5B1056.1 ,CCAFS SLC-40,"SpaceX CRS-17, Starlink v0.9",2495,LEO (ISS),NASA (CRS),Success,Success
24/05/2019,2:30:00,F9 B5 B1049.3,CCAFS SLC-40,"Starlink v0.9, RADARSAT Constellation",13620,LEO,SpaceX,Success,Success
06/12/2019,14:17:00,F9 B5 B1051.2 ,VAFB SLC-4E,"RADARSAT Constellation, SpaceX CRS-18 ",4200,SSO,Canadian Space Agency (CSA),Success,Success
25/07/2019,22:01:00,F9 B5 B1056.2 ,CCAFS SLC-40,"SpaceX CRS-18, AMOS-17 ",2268,LEO (ISS),NASA (CRS),Success,Success
08/06/2019,23:23:00,F9 B5 B1047.3 ,CCAFS SLC-40,"AMOS-17, Starlink 1 v1.0 ",6500,GTO,Spacecom,Success,No attempt 
11/11/2019,14:56:00,F9 B5 B1048.4,CCAFS SLC-40,"Starlink 1 v1.0, SpaceX CRS-19 ",15600,LEO,SpaceX,Success,Success
12/05/2019,17:29:00,F9 B5B1059.1,CCAFS SLC-40,"SpaceX CRS-19, JCSat-18 / Kacific 1 ",2617,LEO (ISS),"NASA (CRS), Kacific 1",Success,Success
17/12/2019,0:10:00,F9 B5 B1056.3 ,CCAFS SLC-40,"JCSat-18 / Kacific 1, Starlink 2 v1.0 ",6956,GTO,"Sky Perfect JSAT, Kacific 1",Success,Success
01/07/2020,2:33:00,F9 B5 B1049.4,CCAFS SLC-40,"Starlink 2 v1.0, Crew Dragon in-flight abort test ",15600,LEO,SpaceX,Success,Success
19/01/2020,15:30:00,F9 B5 B1046.4,KSC LC-39A,"Crew Dragon in-flight abort test, Starlink 3 v1.0 ",12050,Sub-orbital,NASA (CTS),Success,No attempt
29/01/2020,14:07:00,F9 B5 B1051.3,CCAFS SLC-40,"Starlink 3 v1.0, Starlink 4 v1.0 ",15600,LEO,SpaceX,Success,Success
17/02/2020,15:05:00,F9 B5 B1056.4,CCAFS SLC-40,"Starlink 4 v1.0, SpaceX CRS-20",15600,LEO,SpaceX,Success,Failure
03/07/2020,4:50:00,F9 B5 B1059.2,CCAFS SLC-40,"SpaceX CRS-20, Starlink 5 v1.0 ",1977,LEO (ISS),NASA (CRS),Success,Success
18/03/2020,12:16:00,F9 B5 B1048.5,KSC LC-39A,"Starlink 5 v1.0, Starlink 6 v1.0 ",15600,LEO,SpaceX,Success,Failure
22/04/2020,19:30:00,F9 B5 B1051.4,KSC LC-39A,"Starlink 6 v1.0, Crew Dragon Demo-2 ",15600,LEO,SpaceX,Success,Success
30/05/2020,19:22:00,F9 B5B1058.1 ,KSC LC-39A,"Crew Dragon Demo-2, Starlink 7 v1.0 ",12530,LEO (ISS),NASA (CCDev),Success,Success
06/04/2020,1:25:00,F9 B5 B1049.5,CCAFS SLC-40,"Starlink 7 v1.0, Starlink 8 v1.0",15600,LEO,"SpaceX, Planet Labs",Success,Success
13/06/2020,9:21:00,F9 B5 B1059.3,CCAFS SLC-40,"Starlink 8 v1.0, SkySats-16, -17, -18, GPS III-03 ",15410,LEO,"SpaceX, Planet Labs",Success,Success
30/06/2020,20:10:46,F9 B5B1060.1,CCAFS SLC-40,"GPS III-03, ANASIS-II",4311,MEO,U.S. Space Force,Success,Success
20/07/2020,21:30:00,F9 B5 B1058.2 ,CCAFS SLC-40,"ANASIS-II, Starlink 9 v1.0",5500,GTO,"Republic of Korea Army, Spaceflight Industries (BlackSky)",Success,Success
08/07/2020,5:12:00,F9 B5 B1051.5,KSC LC-39A,"Starlink 9 v1.0, SXRS-1, Starlink 10 v1.0 ",14932,LEO,"SpaceX, Spaceflight Industries (BlackSky), Planet Labs",Success,Success
18/08/2020,14:31:00,F9 B5 B1049.6,CCAFS SLC-40,"Starlink 10 v1.0, SkySat-19, -20, -21, SAOCOM 1B ",15440,LEO,"SpaceX, Planet Labs, PlanetIQ",Success,Success
30/08/2020,23:18:00,F9 B5 B1059.4,CCAFS SLC-40,"SAOCOM 1B, GNOMES 1, Tyvak-0172",3130,SSO,"CONAE, PlanetIQ, SpaceX",Success,Success
09/03/2020,12:46:14,F9 B5 B1060.2 ,KSC LC-39A,"Starlink 11 v1.0, Starlink 12 v1.0 ",15600,LEO,SpaceX,Success,Success
10/06/2020,11:29:34,F9 B5 B1058.3 ,KSC LC-39A,"Starlink 12 v1.0, Starlink 13 v1.0 ",15600,LEO,SpaceX,Success,Success
18/10/2020,12:25:57,F9 B5 B1051.6,KSC LC-39A,"Starlink 13 v1.0, Starlink 14 v1.0 ",15600,LEO,SpaceX,Success,Success
24/10/2020,15:31:34,F9 B5 B1060.3,CCAFS SLC-40,"Starlink 14 v1.0, GPS III-04  ",15600,LEO,SpaceX,Success,Success
11/05/2020,23:24:23,F9 B5B1062.1,CCAFS SLC-40,"GPS III-04 , Crew-1",4311,MEO,USSF,Success,Success
16/11/2020,0:27:00,F9 B5B1061.1 ,KSC LC-39A,"Crew-1, Sentinel-6 Michael Freilich ",12500,LEO (ISS),NASA (CCP),Success,Success
21/11/2020,17:17:08,F9 B5B1063.1,VAFB SLC-4E,"Sentinel-6 Michael Freilich, Starlink 15 v1.0 ",1192,LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success
25/11/2020,2:13:00,F9 B5 B1049.7 ,CCAFS SLC-40,"Starlink 15 v1.0, SpaceX CRS-21",15600,LEO,SpaceX,Success,Success
12/06/2020,16:17:08,F9 B5 B1058.4 ,KSC LC-39A,SpaceX CRS-21,2972,LEO (ISS),NASA (CRS),Success,Success